Station,Station Name,Year,Overall WQI,WQI FC,WQI Oxy,WQI pH,WQI TSS,WQI Temp,WQI TPN,WQI TP,WQI Turb,Location 1
27D090,EF Lewis R nr Dollar Corner,2006,78,96,69,92,99,58,83,100,100,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2007,73,72,78,91,90,52,83,100,92,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2008,88,92,86,91,98,67,86,99,98,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2009,83,90,74,98,99,62,84,96,98,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2010,86,83,83,94,93,68,83,95,93,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2011,89,91,84,97,93,70,82,97,93,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2012,83,89,80,96,91,64,87,95,94,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2013,86,86,85,95,99,69,81,99,97,POINT (-122.5918 45.8146)
31A070,Columbia R @ Umatilla,1995,88,98,89,74,87,79,92,85,80,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,1996,81,90,91,80,75,80,92,81,64,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,1997,87,93,88,86,81,79,90,73,68,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,1998,83,98,92,77,77,68,94,80,81,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,1999,94,100,91,80,89,85,93,78,81,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2000,94,99,92,83,85,86,94,88,84,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2001,87,100,88,75,83,73,95,91,90,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2002,91,100,88,82,90,78,92,88,87,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2003,88,99,85,83,87,74,94,83,79,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2004,90,100,86,87,93,71,94,97,91,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2005,90,100,91,77,94,73,96,98,92,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2006,89,99,89,88,94,74,94,93,87,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2007,87,97,86,86,92,73,95,92,85,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2008,91,100,89,81,93,77,94,91,89,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2009,92,100,87,83,91,78,94,91,87,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2010,91,100,90,82,93,74,94,92,91,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2011,92,97,87,85,88,77,95,87,80,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2012,91,100,88,81,88,78,94,90,85,POINT (-119.3264 45.9338)
31A070,Columbia R @ Umatilla,2013,85,93,81,87,92,72,95,92,91,POINT (-119.3264 45.9338)
37A090,Yakima R @ Kiona,1995,45,67,78,88,46,83,77,55,55,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,1996,51,72,78,83,48,61,74,59,45,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,1997,54,67,89,70,50,58,75,60,54,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,1998,53,76,80,77,64,73,77,62,65,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,1999,58,74,90,77,44,72,77,61,60,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2000,65,82,93,74,46,75,82,62,62,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2001,61,93,51,82,78,56,79,58,76,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2002,63,87,92,69,49,58,82,57,55,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2003,67,86,93,73,61,64,79,62,64,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2004,66,94,89,71,69,56,81,62,75,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2005,63,97,98,54,84,52,81,61,85,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2006,62,86,90,69,50,54,81,63,62,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2007,58,88,95,63,62,37,83,65,65,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2008,60,75,89,73,50,77,81,56,53,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2009,60,83,87,71,50,77,81,64,59,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2010,65,90,95,69,65,62,83,69,71,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2011,62,80,91,73,48,66,81,67,58,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2012,60,80,89,75,48,56,83,66,63,POINT (-120.4617 46.5815)
37A090,Yakima R @ Kiona,2013,57,85,93,68,55,58,80,64,60,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,1995,83,83,89,86,73,98,95,74,67,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,1996,71,79,85,83,59,96,95,70,51,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,1997,68,83,93,74,59,85,87,60,60,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,1998,77,77,89,86,72,90,95,73,69,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,1999,76,80,94,77,56,99,94,68,59,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2000,71,83,95,54,63,94,97,78,68,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2001,83,86,93,65,89,75,96,79,86,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2002,88,90,95,63,83,97,96,80,80,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2003,83,87,94,68,82,86,94,78,80,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2004,82,93,94,65,74,79,96,85,78,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2005,77,87,95,55,86,84,96,84,85,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2006,81,87,95,65,78,91,95,81,72,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2007,90,88,92,85,78,90,96,84,75,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2008,85,91,91,72,77,90,96,82,72,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2009,83,87,92,63,74,87,97,77,71,POINT (-120.4617 46.5815)
37A205,Yakima R @ Nob Hill,2010,88,94,94,73,88,95,96,83,86,POINT (-120.4617 46.5815)
